Shelfmark,Title,Dates,Language,Links
Add Ch 12733,"Sale by Katherine von Solmesse and Salentin, lord of Isenburg, her husband, to Baldwin, archbishop of Trier",1346,German,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172069542.0x000001
Add Ch 13038,"Letter of attorney from Ismania, widow of Laurence Berkerolles",1411,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140421.0x000001
Add Ch 13945,"Confirmation by Alfonso of Brienne, count of Eu, and his wife Marie de Lusignan, of a grant to the Abbey of St Anthony, Paris",Mar 1255,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172069756.0x000001
Add Ch 15340,"Bill of sale by Antonio Colona to Angelo Gadi of Florence, selling Marta, an enslaved Russian woman",1450,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356123.0x000001
Add Ch 15584,"Grant by Matilda, abbess of Barking Abbey, to Henry Lohot, of tenements in Tollesbury",1175-1202,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140437.0x000001
Add Ch 16789,"Will of Elizabeth, widow of Thomas Paytfyn of Heddingley, with probate certificate",1342,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172069837.0x000001
Add Ch 17295,Will of Gunnilda atte Denne,1318,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100184116418.0x000001
Add Ch 17741,"Lease by Elizabeth Woodville, Queen of England, to John Wode, of the hundreds of Gallow, Brothercross and North Greenhoe",24 Nov 1467,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172070151.0x000001
Add Ch 18199,"Acquittance by Margaret of France, Queen of England, to John de Sandale, Keeper of the Exchange of London, for a payment into her wardrobe",30 Sept 1301,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172070363.0x000001
Add Ch 18791,"Will of Katherine Cook of St Andrew's parish, Lewes",1504-1505,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140443.0x000001
Add Ch 19146,"Will of Margaret, widow of John de Covert",1367,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100184116428.0x000001
Add Ch 19516,"Grant of King Æthelstan of England (r. 924–939) to the minster of Sts Mary and Peter, Exeter",11th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140451.0x000001
Add Ch 19573,"Grant by Adeliza of Louvain, widowed Queen of England, to Reading Abbey, for the maintenance of the lights before the body of Henry I",between 1135 and 1151,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172070577.0x000001
Add Ch 19574,"Order of Adeliza of Louvain, widowed Queen of England, to Abbot Edward and Reading Abbey, commanding them not to alienate the church of Stanton or her other grants",between 1138 and 1151,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172070910.0x000001
Add Ch 19576,Confirmation by Empress Matilda to Reading Abbey of lands in Windsor and Catteshall,1141,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356133.0x000001
Add Ch 19577,Grant by Empress Matilda to Reading Abbey of lands in Blewbury,between 1143 and 1147,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356141.0x000001
Add Ch 19578,Notification by Empress Matilda of her confirmation of the grant of the church of Stanton to Reading Abbey,1141,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356150.0x000001
Add Ch 19579,Grant by Empress Matilda to Reading Abbey of lands in Blewbury (duplicate),between 1143 and 1147,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356160.0x000001
Add Ch 19587,"Indulgence granted by Gilbert Foliot, Bishop of Hereford, to visitors to the relics of St James the Apostle at Reading Abbey",1148-1163,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100167857189.0x000001
Add Ch 19788,Grant of King Wulfhere of the Mercians (d. 675) to his kinsman Beorhtferth,2nd half of the 10th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140455.0x000001
Add Ch 19789,"Grant of Eanberht (fl. 757–759), Uhtred (fl. 757–777) and Ealdred (fl. 757–777), brothers and under-kings of the Hwicce, to Headda, abbot",759,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140462.0x000001
Add Ch 19790,"Grant of King Offa of the Mercians (r. 757-796) to Æthelmund, minister",793-796,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140467.0x000001
Add Ch 19791,"Grant of Bishop Werferth (d. 907×915), with the Worcester community, to Wulfsige, his reeve",904,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140471.0x000001
Add Ch 19792,"Grant of Bishop Oswald (d. 992) to his kinsman Osulf, the cniht",969,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140477.0x000001
Add Ch 19793,"Grant of King Edgar of England (r. 959– 975) to Ælfwold, minister",Early 11th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140482.0x000001
Add Ch 19794,"Grant of Archbishop Oswald (d. 992) to Cynelm, minister",984,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140487.0x000001
Add Ch 19795,Grant of Archbishop Wulfstan (d. 1023) to Wulfgifu,1003-1023,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140492.0x000001
Add Ch 19796,"Grant of Abbot Ælfweard of Evesham (d. 1044), and the community at Evesham, to Æthelmær",1016-1023,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140497.0x000001
Add Ch 19797,"Grant of Bishop Brihtheah of Worcester (r. 1033–38) to Wulfmær, cniht",1033-1038,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140502.0x000001
Add Ch 19798,Grant of Bishop Lyfing of Worcester (d. 1046) to Earcytel,1038,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140508.0x000001
Add Ch 19799,"Grant of Bishop Lyfing of Worcester (d. 1046) to Æthelric, his thegn",1042,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140513.0x000001
Add Ch 19800,"Grant of Bishop Ealdred (d. 1069) to Balwine, his man",c 1053,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140518.0x000001
Add Ch 19801,"Grant of Bishop Ealdred (d. 1069) to Dodda, minister",1058,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140524.0x000001
Add Ch 19802,Writ of King Edward the Confessor (r. 1042–1066) concerning the monk Wulfstan,1062,"English, Old",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140528.0x000001
Add Ch 19858,"Letter of Anne of Woodstock, countess of Stafford, appointing John Harper as her steward",1428,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356168.0x000001
Add Ch 19989,"Chirograph by Agatha La Bernarde, widow of Lord Ralph Fitz Bernard, granting a grove to her daughter Johanna",1313,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172071142.0x000001
Add Ch 20394,Grant by Matilda de Wateville to Bruern Abbey of land in Colesbourne,Middle of the 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140533.0x000001
Add Ch 20396,"Grant by Anne of Bohemia, Queen of England, to John del Shagh, vicar of Prestbury, of lands in the town of Macclesfield",1390,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172071358.0x000001
Add Ch 20420,Confirmation by Empress Matilda to Bordesley Abbey of lands in Bordesley and elsewhere,1141,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172071688.0x000001
Add Ch 20559,"Grant by Hawise, countess of Aumale, to Fulk de Oiri, of land in Hedon",1179-1214,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140540.0x000001
Add Ch 20568,"Quitclaim by Alice de Lacy, mother of the earl of Lincoln, to Holy Trinity Abbey, York",1310,Anglo- Norman,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140547.0x000001
Add Ch 21703,"Grant by Matilda, countess of Clare, to Stephen of Chewat, her clerk, of lands in Dralston",c 1170,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140554.0x000001
Add Ch 22566,"Quitclaim by Isabella, widow of Warin of Bassingburn, to William de Briançon, lord of West Thurrock, of her rights to land in Breckenham and elsewhere",1287-1310,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140562.0x000001
Add Ch 23365,"Inspection and confirmation of a grant to William Aumbesas and Johanna, his wife, of the manor of Carshalton",1307,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140568.0x000001
Add Ch 23674,"Quitclaim by Gonnora, widow of William Banastre of Wallington, to the Hospital of St Thomas the Martyr, Southwark, of half the rent owed on lands given by her husband",Middle of the 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172071891.0x000001
Add Ch 24243,"Will of Margery, widow of John Todenham, knight",1411-1416,"English; English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172072115.0x000001
Add Ch 24804,"Confirmation by Alfonso X of Castile and Violante of Aragon, his wife, of a previous grant of lands by Alfonso VIII and Leonor Plantagenet, his wife, to the Hospital del Rey of Burgos",1254,Latin; Spanish,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140575.0x000001
Add Ch 24806,"Grant of Doña Blanca of Portugal, Lady of Santa María de las Huelgas, Burgos, to the abbey of las Huelgas, of rents from the saltworks of Añana and Poza",1313,Spanish,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140584.0x000001
Add Ch 24813,"Confirmation by the Catholic Monarchs, Isabel and Fernando, to the Hospital del Rey, Burgos, of the rights of free pasture",1476,Spanish,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172072339.0x000001
Add Ch 24814,"Judgement by Isabel and Fernando, the Catholic Monarchs, in the case of a claim made by the Hospital del Rey of Burgos",1484-1485,Spanish,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172072602.0x000001
Add Ch 26317,"Will of Joanna Lane, widow of Nicholas Lane of Snape",1500-1501,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140598.0x000001
Add Ch 27703,"Covenant between Joan, Dowager Princess of Wales, and Beverley, regarding an annual rent",20 Apr 1380,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172072960.0x000001
Add Ch 28479,Grant by Isabella de Brus to Hatfield Regis Priory,between 1238 and 1252,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140606.0x000001
Add Ch 28654,"Arbitration between Elizabeth of Katzenelenbogen, abbess of St Mary's in the Capitol in Cologne, and Herman of Hachinberch, canon of the same church",[30 Jan 1352],"Dutch, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100184116438.0x000001
Add Ch 28657,Confirmation of King Edward the Confessor (r. 1042–1066) concerning gifts made by Earl Leofric and Godgifu,Early 12th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140611.0x000001
Add Ch 28766,"Will of Isabella Russell, widow of John Churchhay of Frome",1361,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140619.0x000001
Add Ch 33686,Four grants to Ramsey Abbey,14th century,"English, Old; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100167857624.0x000001
Add Ch 37381,"Grant by Agnes Kamlerin and Barbara Regensburgerin to Hans Schmuckhner of land in Enns, Austria, for the benefit of the sick poor",Jun 1559,German,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356182.0x000001
Add Ch 46402,"Grant of Berengaria of Navarre, widowed Queen of England, of rents and lands to the abbey of L'Épau",1230,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172073281.0x000001
Add Ch 46912,"Confirmation by Alix, countess of Eu, to Hastings Priory, of grants in the county of Eu",1241,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140636.0x000001
Add Ch 47517,"Grant by Hawise, countess of Gloucester, to Nuneaton Priory, of land at Pimperne",1191-1197,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140645.0x000001
Add Ch 47552,"Confirmation by Petronilla, countess of Leicester, to Nuneaton Priory, of the donation made by her son Robert, earl of Leicester",1190-1204,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140653.0x000001
Add Ch 47584,"Grant by Isabel, countess of Northampton, to Nuneaton Priory, of land in Groby",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172073590.0x000001
Add Ch 47615,"Grant by Amicia de Craft, to Nuneaton Priory, of a moiety of her mill in Sapcote and her body",Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172073882.0x000001
Add Ch 54007,"Grant of Eleanor of Aquitaine, widowed Queen of England, to Fontevraud Abbey of a house in Poitiers",1199,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172074026.0x000001
Add Ch 54069,"Grant by Philip II of Spain and Mary I of England to Henry Fitzalan, 12th Earl of Arundel, of property in the hundreds of Bury and Rotherbridge",1555,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172074335.0x000001
Add Ch 60433,Will and probate certificate of Margaret Hervy of Ryburgh,1508,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140673.0x000001
Add Ch 62464,"Grant by Philip and Mary to Anne Fortescue, of manors in Gloucestershire",1557,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356189.0x000001
Add Ch 62467,"A set of instructions from Margaret III, Dowager Duchess of Burgundy, to her commissioners to make a treaty of commerce with England",19 Dec 1404,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100182983373.0x000001
Add Ch 62759,"Acquittance by Eleanor, abbess of Fontevrault, of a payment from the tolls of Blois",1326,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356201.0x000001
Add Ch 65797,"Commission by Thomas Bourgchier, Archbishop of Canterbury to administer the will of Emota Newton, widow",1481,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140687.0x000001
Add Ch 66585,"Acknowledgement of fealty by Jehanne de Longueioe, abbess of St Antoine des Champs, Paris, to the Celestines of Paris, for land held of them",1534,French,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356211.0x000001
Add Ch 66715,Bull of Pope Adrian IV granting privileges to Neasham Priory,3 Feb 1157,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356220.0x000001
Add Ch 66988,"Notarised copy of the divorce of Alexander Stewart, duke of Albany, and Lady Katherine Sinclair",1515,Latin; Scots,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140693.0x000001
Add Ch 67089,"Petition to Celestine III by Vaggia, widow of Bernardo di Bardi, and her sons, to choose a confessor",between 1455 and 1458,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356228.0x000001
Add Ch 67394,Testimony by Friar John Bradfield and others of a deathbed statement by William of Lener concerning the divorce of Robert Pilkington of Rovington and Alice of Astley,1447,"English; English, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140701.0x000001
Add Ch 70471,"Bond between Peter Senthracve of Antwerp, Cristian Tack of Calais and Agnes Martin, Merchant of the Staple of Calais",1496,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356238.0x000001
Add Ch 70581,"Will of Margaret Canon, granting to John Lye and Thomas Russell of Hythe all of her lands and tenements in Hythe",1424,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140708.0x000001
Add Ch 70587,"Will of Margery Loqmer, widow of John Loqmer of Newington-next-Hythe, leaving a bequest to John Curte and his wife Beatrice",1473,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140715.0x000001
Add Ch 70593,"Will of Joanna Chiltern, widow, wife of John Chiltern, of Newington-next-Hythe",1481-1516,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140720.0x000001
Add Ch 70601,"Will of Agnes Leigh, widow, of the parish of Cheriton",1516-1518,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140727.0x000001
Add Ch 74042,"Indenture between Isabel, wife of Henry of Torbok, and John Dunville and several others, cancelling a debt",1396,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140734.0x000001
Add Ch 74114,"Will of Elizabeth Ayrer, widow of Sebald Neyrer of Nuremberg",1534,German,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172074783.0x000001
Add Ch 75578,"Foundation charter of Lacock Abbey, granted by Ela, countess of Salisbury",between 1227 and 1231,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140747.0x000001
Add Ch 75719,Will of Katherine de Bassi of Tournai,1360,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140754.0x000001
Add Ch 75724,Foundation charter of Bordesley Abbey by Empress Matilda,between 1141 and 1142,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100177809527.0x000001
Add Ch 76067,"Grant by Isabella de Boville to Sir William de Ulchot and Elizabeth, her daughter, of a mill in Glosthorpe",c 1230-1240,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356245.0x000001
Add Ch 76275,"Will of Johanna, wife of John Godfrey of South Creake",1368,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356252.0x000001
Add Ch 76757,"Grant by Charles VII of France of a dower for Margaret Stewart, daughter of James I of Scotland, for her proposed marriage to Louis, Charles' son",12 Mar 1429,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356258.0x000001
Add Ch 77131,"Charter of Marie de St Pol, countess of Pembroke, and four others, appointing John Shaftsbury and John Cheshunt as their attorneys",25 Jul 1372,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356268.0x000001
Add Ch 77136,"Indenture between Margaret of Brotherton, Countess of Norfolk, Bruisyard Abbey and Sir Robert Carbevell, concerning lands to be granted to the abbey",6 Jul 1378,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356281.0x000001
Add Ch 77153,Will of Isabella Storke,25 Mar 1496,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356292.0x000001
Add Ch 77735,Inspeximus by Henry III of a grant of Aethelred the Unready to Wherwell Abbey,1260,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140774.0x000001
Add Ch 77738,Marriage contract between Prince Edward of England and Philippa of Hainault,1326,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100178830802.0x000001
Add MS 4899,"Bernard of Clairvaux, Sermones",Late 12th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100063526089.0x000001
Add MS 4920,"Hawkins Collection, Volume XII. 'Utile e breue (sic) regule di cato compostte per Maestro Zoanne di Spadari [Giovanni di Spataro] da Bologna'",1510,English,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100109684380.0x000001
Add MS 4922,"Hawkins Collection, Volume XIV. 'Regole per il contrappunto, Giovanni Maria Nanimo'",17th century,English,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100109684455.0x000001
Add MS 5220,"'Drawings of animals, monsters, skeletons, etc.' from the collection of Sir Hans Sloane, by different hands",16th century- 18th century,English; Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100186455026.0x000001
Add MS 5262,"Drawings of shells, crustaceans and fish by Everard Kick, George Jago and others",Early 18th century,English; Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100164743969.0x000001
Add MS 5272,Drawings of amphibians and reptiles by Eleazar Albin and others,Early 18th century,English,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165005970.0x000001
Add MS 5292,"'Drawings of Chinese Flowers, Plants, and Fruits, in colours, by a native artist, at Emuy; with their names in Chinese'",c 1701,Chinese; English; Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100101225110.0x000001
